Middle layer Super Output Areas Code,Middle layer Super Output Areas,Welsh speaking ability (3 categories) Code,Welsh speaking ability (3 categories),Observation,Total,Totalp
W02000339,Monmouthshire 004,1,Can speak Welsh,864,11051,7.818296987
W02000340,Monmouthshire 005,1,Can speak Welsh,625,7140,8.753501401
W02000341,Monmouthshire 006,1,Can speak Welsh,638,8313,7.674726332
W02000342,Monmouthshire 007,1,Can speak Welsh,798,9360,8.525641026
W02000343,Monmouthshire 008,1,Can speak Welsh,561,8172,6.864904552
W02000344,Monmouthshire 009,1,Can speak Welsh,760,8509,8.931719356
W02000345,Monmouthshire 010,1,Can speak Welsh,659,8035,8.201617922
W02000346,Monmouthshire 011,1,Can speak Welsh,727,7738,9.395192556
W02000347,Newport 001,1,Can speak Welsh,636,7972,7.97792273
W02000348,Newport 002,1,Can speak Welsh,463,7603,6.089701434
W02000349,Newport 003,1,Can speak Welsh,527,8296,6.352459016
W02000350,Newport 004,1,Can speak Welsh,750,9958,7.531632858
W02000351,Newport 005,1,Can speak Welsh,446,6272,7.110969388
W02000352,Newport 006,1,Can speak Welsh,529,6794,7.786282014
W02000353,Newport 007,1,Can speak Welsh,592,7218,8.201717927
W02000354,Newport 008,1,Can speak Welsh,426,5793,7.353702745
W02000355,Newport 009,1,Can speak Welsh,839,10238,8.194959953
W02000356,Newport 010,1,Can speak Welsh,329,5270,6.24288425
W02000357,Newport 011,1,Can speak Welsh,497,8282,6.00096595
W02000358,Newport 012,1,Can speak Welsh,597,6484,9.207279457
W02000359,Newport 013,1,Can speak Welsh,733,11803,6.210285521
W02000360,Newport 014,1,Can speak Welsh,460,6784,6.780660377
W02000361,Newport 015,1,Can speak Welsh,830,11760,7.057823129
W02000362,Newport 016,1,Can speak Welsh,537,6979,7.694512108
W02000363,Newport 017,1,Can speak Welsh,316,5781,5.466182321
W02000364,Newport 018,1,Can speak Welsh,611,9289,6.577672516
W02000365,Newport 019,1,Can speak Welsh,737,8574,8.595754607
W02000366,Newport 020,1,Can speak Welsh,738,8434,8.750296419
W02000367,Cardiff 001,1,Can speak Welsh,794,6094,13.02920906
W02000368,Cardiff 002,1,Can speak Welsh,687,5700,12.05263158
W02000369,Cardiff 003,1,Can speak Welsh,1048,9795,10.6993364
W02000370,Cardiff 004,1,Can speak Welsh,848,6550,12.94656489
W02000371,Cardiff 005,1,Can speak Welsh,1059,9102,11.63480554
W02000372,Cardiff 006,1,Can speak Welsh,1329,8286,16.0391021
W02000373,Cardiff 007,1,Can speak Welsh,472,6995,6.747676912
W02000374,Cardiff 008,1,Can speak Welsh,657,5892,11.15071283
W02000375,Cardiff 009,1,Can speak Welsh,584,7315,7.983595352
W02000376,Cardiff 010,1,Can speak Welsh,1052,6659,15.79816789
W02000377,Cardiff 011,1,Can speak Welsh,705,7784,9.057040082
W02000378,Cardiff 012,1,Can speak Welsh,1040,7489,13.88703432
W02000379,Cardiff 013,1,Can speak Welsh,481,6468,7.436611008
W02000380,Cardiff 014,1,Can speak Welsh,1462,7902,18.50164515
W02000381,Cardiff 015,1,Can speak Welsh,560,6530,8.575803982
W02000382,Cardiff 016,1,Can speak Welsh,491,5972,8.221701273
W02000383,Cardiff 017,1,Can speak Welsh,584,7499,7.787705027
W02000384,Cardiff 018,1,Can speak Welsh,925,5696,16.23946629
W02000385,Cardiff 019,1,Can speak Welsh,816,6883,11.85529566
W02000386,Cardiff 020,1,Can speak Welsh,1524,7587,20.08699091
